Time	Ch 0
[s]	[V]
0.451989	2.783306
0.452655	2.782648
0.453322	2.781004
0.453989	2.779689
0.454655	2.779360
0.455322	2.778044
0.455989	2.776729
0.456655	2.775085
0.457322	2.773111
0.457989	2.771467
0.458655	2.769494
0.459322	2.768507
0.459988	2.765876
0.460655	2.764561
0.461322	2.762588
0.461988	2.760943
0.462655	2.758641
0.463322	2.756668
0.463988	2.755024
0.464655	2.752393
0.465322	2.750091
0.465988	2.747460
0.466655	2.745816
0.467322	2.743514
0.467988	2.740883
0.468655	2.737923
0.469322	2.735950
0.469988	2.732990
0.470655	2.731346
0.471322	2.728057
0.471988	2.725426
0.472655	2.723453
0.473321	2.719835
0.473988	2.716876
0.474655	2.713258
0.475321	2.710956
0.475988	2.707996
0.476655	2.705036
0.477321	2.701419
0.477988	2.698788
0.478655	2.694842
0.479321	2.692211
0.479988	2.688922
0.480655	2.685633
0.481321	2.682345
0.481988	2.678070
0.482655	2.675110
0.483321	2.670506
0.483988	2.667546
0.484655	2.663599
0.485321	2.659653
0.485988	2.656036
0.486654	2.652089
0.487321	2.647485
0.487988	2.643210
0.488654	2.639921
0.489321	2.635975
0.489988	2.631700
0.490654	2.627753
0.491321	2.622820
0.491988	2.619532
0.492654	2.614928
0.493321	2.610323
0.493988	2.606048
0.494654	2.601115
0.495321	2.595853
0.495988	2.591907
0.496654	2.587632
0.497321	2.583028
0.497988	2.577437
0.498654	2.572833
0.499321	2.568886
0.499987	2.563625
0.500654	2.558363
0.501321	2.553430
0.501987	2.547839
0.502654	2.543235
0.503321	2.536987
0.503987	2.532711
0.504654	2.527449
0.505321	2.522188
0.505987	2.516268
0.506654	2.511006
0.507321	2.505416
0.507987	2.499825
0.508654	2.494563
0.509321	2.489301
0.509987	2.482724
0.510654	2.477133
0.511321	2.471214
0.511987	2.465623
0.512654	2.459374
0.513320	2.454113
0.513987	2.447535
0.514654	2.441616
0.515320	2.435367
0.515987	2.429448
0.516654	2.423199
0.517320	2.417280
0.517987	2.411360
0.518654	2.405112
0.519320	2.398535
0.519987	2.392615
0.520654	2.386367
0.521320	2.379789
0.521987	2.373870
0.522654	2.365977
0.523320	2.359400
0.523987	2.353480
0.524654	2.346245
0.525320	2.339668
0.525987	2.333090
0.526653	2.326184
0.527320	2.318620
0.527987	2.313030
0.528653	2.305795
0.529320	2.298231
0.529987	2.291325
0.530653	2.284090
0.531320	2.277183
0.531987	2.269948
0.532653	2.262713
0.533320	2.255807
0.533987	2.248572
0.534653	2.241008
0.535320	2.233444
0.535987	2.225552
0.536653	2.218645
0.537320	2.210753
0.537987	2.202860
0.538653	2.195296
0.539320	2.187732
0.539986	2.180497
0.540653	2.172933
0.541320	2.164712
0.541986	2.157148
0.542653	2.149255
0.543320	2.141362
0.543986	2.133141
0.544653	2.124590
0.545320	2.117026
0.545986	2.109462
0.546653	2.100254
0.547320	2.092361
0.547986	2.084797
0.548653	2.076247
0.549320	2.067368
0.549986	2.059475
0.550653	2.050924
0.551320	2.041716
0.551986	2.033166
0.552653	2.024944
0.553319	2.016722
0.553986	2.006857
0.554653	1.998306
0.555319	1.989427
0.555986	1.981534
0.556653	1.972983
0.557319	1.964104
0.557986	1.955882
0.558653	1.946345
0.559319	1.936808
0.559986	1.928258
0.560653	1.919707
0.561319	1.910170
0.561986	1.901620
0.562653	1.892412
0.563319	1.882546
0.563986	1.873995
0.564653	1.864787
0.565319	1.854592
0.565986	1.846042
0.566653	1.837162
0.567319	1.827625
0.567986	1.818088
0.568652	1.808551
0.569319	1.799343
0.569986	1.788819
0.570652	1.779611
0.571319	1.770074
0.571986	1.760537
0.572652	1.751000
0.573319	1.741134
0.573986	1.731268
0.574652	1.721073
0.575319	1.712194
0.575986	1.701999
0.576652	1.692133
0.577319	1.682267
0.577986	1.672730
0.578652	1.662864
0.579319	1.652669
0.579985	1.642803
0.580652	1.631950
0.581319	1.622742
0.581985	1.612547
0.582652	1.602353
0.583319	1.592487
0.583985	1.581634
0.584652	1.571768
0.585319	1.561573
0.585985	1.550721
0.586652	1.540855
0.587319	1.530331
0.587985	1.520136
0.588652	1.509613
0.589319	1.500076
0.589985	1.488565
0.590652	1.478370
0.591319	1.467847
0.591985	1.456665
0.592652	1.446471
0.593318	1.435947
0.593985	1.425423
0.594652	1.414571
0.595318	1.403389
0.595985	1.393523
0.596652	1.382671
0.597318	1.371489
0.597985	1.361295
0.598652	1.349784
